Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
60025,Greenbacker Renewable Energy Corporation,65309,Millersport GM 1,Map,Map,NY,Erie,NYIS,IPP Non-CHP,532,,5,5,5,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",42.99208,-78.79084
62856,"Forefront Power, LLC",65365,CA - Ventura Co CCD - Moorpark College,Map,Map,CA,Ventura,CISO,IPP Non-CHP,17024,,2.6,2.6,2.6,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",34.299721,-118.8335
63082,ProEnergy Services,65373,Brotman Power Station,Map,Map,TX,Brazoria,ERCO,IPP Non-CHP,CTG-3,,60.5,44.6,49.8,Natural Gas Fired Combustion Turbine,NG,GT,3,2023,"(V) Under construction, more than 50 percent complete",29.364128,-95.43507
63082,ProEnergy Services,65373,Brotman Power Station,Map,Map,TX,Brazoria,ERCO,IPP Non-CHP,CTG-6,,60.5,44.6,49.8,Natural Gas Fired Combustion Turbine,NG,GT,3,2023,"(V) Under construction, more than 50 percent complete",29.364128,-95.43507
6762,City of Fredonia - (KS),65374,Fredonia,Map,Map,KS,Wilson,SWPP,Electric Utility,GEN1,,1.5,1.5,1.5,Petroleum Liquids,DFO,IC,3,2023,"(V) Under construction, more than 50 percent complete",37.547146,-95.81534
6762,City of Fredonia - (KS),65374,Fredonia,Map,Map,KS,Wilson,SWPP,Electric Utility,GEN2,,1.5,1.5,1.5,Petroleum Liquids,DFO,IC,3,2023,"(V) Under construction, more than 50 percent complete",37.547146,-95.81534
64740,"Santa Paula Energy Storage, LLC",65397,Santa Paula Energy Storage LLC,Map,Map,CA,Ventura,CISO,IPP Non-CHP,SP1,,30,30,30,Batteries,MWH,BA,3,2023,"(V) Under construction, more than 50 percent complete",34.35716,-119.055
62856,"Forefront Power, LLC",65447,CA-Ventura Co CCD-Oxnard College Canopy,Map,Map,CA,Ventura,CISO,IPP Non-CHP,19032,,1.5,1.5,1.5,Solar Photovoltaic,SUN,PV,3,2023,"(U) Under construction, less than or equal to 50 percent complete",34.165905,-119.1568
64808,Verizon Communications,65507,Verizon Comms Garage Top Solar Project,Map,Map,CA,Santa Clara,CISO,IPP Non-CHP,VCGSP,,2.3,2.3,1.8,Solar Photovoltaic,SUN,PV,3,2023,"(V) Under construction, more than 50 percent complete",37.354492,-121.9315
49893,Invenergy Services LLC,65522,Number Three Wind Project,Map,Map,NY,Lewis,NYIS,IPP Non-CHP,65013,,106,106,106,Onshore Wind Turbine,WND,WT,3,2023,"(V) Under construction, more than 50 percent complete",43.839599,-75.56989
